(-86.6026,49.9999)
(-80.8291,46.6666)
(-75.0556,43.3333)
(-69.2821,39.9999)
(-63.5086,36.6666)
(-57.7351,33.3333)
(-51.9616,29.9999)
(-46.1881,26.6666)
(-40.4146,23.3333)
(-34.641,20)
(-28.8675,16.6666)
(-23.094,13.3333)
(-17.3205,9.99998)
(-11.547,6.66666)
(-5.77351,3.33333)
(-7.43316e-06,4.29153e-06)
(5.7735,-3.33332)
(11.547,-6.66665)
(17.3205,-9.99998)
(23.094,-13.3333)
(28.8675,-16.6666)
(34.641,-20)
(40.4145,-23.3333)
(46.188,-26.6666)
(51.9616,-29.9999)
(57.7351,-33.3333)
(63.5086,-36.6666)
(69.2821,-39.9999)
(75.0556,-43.3332)
(80.8291,-46.6666)
(86.6026,-49.9999)
